"SubGrup proced";"Jan/2008";"Fev/2008";"Mar/2008";"Abr/2008";"Mai/2008";"Jun/2008";"Jul/2008";"Ago/2008";"Set/2008";"Out/2008";"Nov/2008";"Dez/2008";"Jan/2009";"Fev/2009";"Mar/2009";"Abr/2009";"Mai/2009";"Jun/2009";"Jul/2009";"Ago/2009";"Set/2009";"Out/2009";"Nov/2009";"Dez/2009";"Jan/2010";"Fev/2010";"Mar/2010";"Abr/2010";"Mai/2010";"Jun/2010";"Jul/2010";"Ago/2010";"Set/2010";"Out/2010";"Nov/2010";"Dez/2010";"Jan/2011";"Fev/2011";"Mar/2011";"Abr/2011";"Mai/2011";"Jun/2011";"Jul/2011";"Ago/2011";"Set/2011";"Out/2011";"Nov/2011";"Dez/2011";"Total"
"0101 Acoes coletivas/individuais em saude";548;0;2311;247;860;256;2118;1626;1862;2343;2021;942;1231;1333;4446;2114;2114;1950;2114;1926;2114;1895;2076;377;883;1030;1893;1977;2114;0;1899;856;1609;1745;1457;1289;869;0;844;229;166;827;644;66;1050;983;1621;881;63756
"0201 Coleta de material";76;2;27;76;73;25;48;116;232;181;172;164;158;124;161;192;143;129;213;136;52;218;145;93;86;90;149;262;150;136;104;194;82;121;117;72;86;2;206;105;89;89;109;139;158;113;122;93;5830
"0202 Diagnostico em laboratorio clinico";859;705;61600;68024;64297;66303;54600;61479;66908;67446;60558;56346;639;121981;35044;38402;40795;41191;32751;46553;38711;72512;31625;19809;473;80920;43628;42645;42996;29911;28114;42577;27990;33786;35419;8772;14024;484;77607;35480;44366;37984;45335;44049;39036;39510;39720;34418;2018382
"0203 Diagnostico por anatomia patologica e citopatologia";602;0;0;692;0;1660;0;0;2605;1130;1173;757;76;365;642;659;1610;1119;2;828;3;852;585;798;381;295;397;1104;415;692;585;662;769;414;350;514;0;0;26;41;246;277;29;269;792;213;573;619;25821
"0204 Diagnostico por radiologia";0;0;1998;2339;1757;2241;2003;2240;2535;2010;1928;1703;1524;1422;1976;2126;2862;1789;1964;2308;2482;2003;2910;1903;2087;2004;2325;3010;2556;1856;2313;2049;1951;1634;1907;1513;1590;0;2861;1761;1067;1783;1904;2465;4615;2102;1919;881;94176
"0205 Diagnostico por ultrasonografia";73;46;974;597;540;569;434;310;153;421;502;479;596;759;33;92;116;1453;1181;1400;745;574;867;603;605;462;677;1061;737;66;637;709;82;565;499;505;34;0;621;367;434;489;370;321;419;207;254;208;23846
"0206 Diagnostico por tomografia";0;0;230;185;174;0;0;0;24;42;276;9;3;125;108;308;231;92;206;243;222;339;278;123;295;239;340;257;330;197;275;177;235;284;123;133;301;0;581;279;328;313;379;344;213;270;237;402;9750
"0207 Diagnostico por ressonancia magnetica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6
"0208 Diagnostico por medicina nuclear in vivo";0;0;21;206;50;0;0;0;320;70;81;184;76;50;118;47;181;21;0;0;0;0;62;35;47;79;60;163;43;71;45;66;27;50;23;33;37;0;43;36;31;49;51;59;49;85;4;0;2673
"0209 Diagnostico por endoscopia";94;0;237;36;239;31;62;188;158;140;109;113;83;92;22;136;174;383;16;541;225;18;234;195;179;150;116;373;23;555;170;181;240;172;24;8;0;0;5;20;19;12;1;3;14;12;15;9;5827
"0210 Diagnostico por radiologia intervencionista";0;0;18;107;14;0;0;0;63;161;2;159;64;130;102;83;76;70;54;66;82;105;130;115;168;118;81;158;70;43;61;4;0;3;40;84;51;0;141;34;29;66;102;55;26;54;1;95;3085
"0211 Metodos diagnosticos em especialidades";1063;0;1782;3500;2776;1;5350;4637;3968;4627;4180;1394;4501;2326;3240;3247;4227;3605;3563;3399;3750;3464;3701;1034;1336;1750;2785;4626;2893;122;2249;1729;1558;2509;2244;1017;1280;31;2562;2109;1561;2661;2504;492;2852;2177;2698;1495;120575
"0212 Diagnostico e procedimentos especiais em hemoterapia";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"0214 Diagnostico por teste rapido";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;98;199;174;202;0;230;156;91;137;138;76;177;301;575;254;2907
"0301 Consultas / Atendimentos / Acompanhamentos";9052;0;12903;10274;17643;2011;32058;23321;28664;26442;28129;21970;13000;16992;25214;21341;22412;18564;19249;20555;20906;18179;24866;19098;17659;19144;27201;24788;25220;1255;21760;25045;21946;21587;22344;16365;13745;0;34921;18012;21049;21859;17404;4512;17026;13886;16939;15061;891571
"0302 Fisioterapia";763;0;0;0;0;0;0;0;3084;1003;982;534;281;692;1135;1043;929;644;916;1536;716;724;1159;1026;608;745;1479;1563;2059;141;3292;1915;1297;1530;1653;1049;755;0;1644;1098;1524;1289;905;182;1130;701;719;386;44831
"0303 Tratamentos clinicos (outras especialidades)";464;0;46;30;838;106;75;389;2402;294;309;258;232;252;2691;283;402;262;318;429;421;303;218;174;186;86;218;508;212;38;337;143;185;193;301;271;200;0;294;193;162;236;183;62;274;119;498;184;16279
"0304 Tratamento em oncologia";66;508;82;231;619;13;282;1632;768;730;740;718;781;813;818;738;812;834;866;862;857;856;874;882;878;873;897;868;837;689;686;977;752;790;752;742;731;723;688;758;724;649;573;844;777;715;702;691;34698
